@relation EvolutionChain

growing,merging,splitting,merging,merging,splitting,dissolving
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,continuing,merging,splitting,dissolving
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
growing,merging,splitting,merging,merging,splitting,dissolving
shrinking,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,continuing,merging,splitting,dissolving
shrinking,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
shrinking,growing,shrinking,growing,merging,splitting,growing
growing,shrinking,growing,merging,splitting,growing,merging
shrinking,growing,merging,splitting,growing,merging,splitting
growing,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
growing,merging,splitting,merging,merging,splitting,dissolving
shrinking,growing,shrinking,growing,merging,splitting,growing
growing,shrinking,growing,merging,splitting,growing,merging
shrinking,growing,merging,splitting,growing,merging,splitting
growing,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
shrinking,growing,shrinking,growing,merging,splitting,growing
growing,shrinking,growing,merging,splitting,growing,merging
shrinking,growing,merging,splitting,growing,merging,splitting
growing,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,continuing,merging,splitting,dissolving
shrinking,growing,shrinking,growing,merging,splitting,growing
growing,shrinking,growing,merging,splitting,growing,merging
shrinking,growing,merging,splitting,growing,merging,splitting
growing,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
growing,merging,splitting,merging,merging,splitting,dissolving
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,continuing,merging,splitting,dissolving
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
growing,merging,splitting,merging,merging,splitting,dissolving
growing,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
growing,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,continuing,merging,splitting,dissolving
growing,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
shrinking,merging,splitting,merging,merging,splitting,dissolving
shrinking,merging,splitting,continuing,merging,splitting,dissolving
forming,shrinking,continuing,continuing,continuing,shrinking,dissolving
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
growing,merging,splitting,merging,merging,splitting,dissolving
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,merging
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,continuing
merging,splitting,growing,merging,splitting,continuing,merging
splitting,growing,merging,splitting,continuing,merging,splitting
growing,merging,splitting,continuing,merging,splitting,dissolving
forming,merging,shrinking,merging,splitting,growing,merging
merging,shrinking,merging,splitting,growing,merging,splitting
shrinking,merging,splitting,growing,merging,splitting,continuing
